言葉,品詞
だから,接続詞
ですから,接続詞
したがって,接続詞
そのため,接続詞
ゆえに,接続詞
それで,接続詞
そこで,接続詞
すると,接続詞
だったら,接続詞
それなら,接続詞
しかし,接続詞
でも,接続詞
だが,接続詞
けれども,接続詞
ところが,接続詞
ただし,接続詞
もっとも,接続詞
とはいえ,接続詞
それでも,接続詞
にもかかわらず,接続詞
そして,接続詞
および,接続詞
ならびに,接続詞
また,接続詞
さらに,接続詞
しかも,接続詞
そのうえ,接続詞
かつ,接続詞
それに,接続詞
なお,接続詞
または,接続詞
あるいは,接続詞
それとも,接続詞
もしくは,接続詞
いずれにしても,接続詞
ところで,接続詞
さて,接続詞
ときに,接続詞
ちなみに,接続詞
では,接続詞
それでは,接続詞
なぜなら,接続詞
つまり,接続詞
すなわち,接続詞
要するに,接続詞
ただし,接続詞
ただ,接続詞
むしろ,接続詞
かえって,接続詞
いわば,接続詞
例えば,接続詞
たとえば,接続詞
具体的には,接続詞
とりわけ,接続詞
特に,接続詞
静かだ,形容動詞
便利だ,形容動詞
元気だ,形容動詞
大切だ,形容動詞
簡単だ,形容動詞
複雑だ,形容動詞
安全だ,形容動詞
危険だ,形容動詞
自由だ,形容動詞
不自由だ,形容動詞
親切だ,形容動詞
丁寧だ,形容動詞
失礼だ,形容動詞
正直だ,形容動詞
残念だ,形容動詞
嫌だ,形容動詞
いやだ,形容動詞
面倒だ,形容動詞
退屈だ,形容動詞
楽だ,形容動詞
大変だ,形容動詞
立派だ,形容動詞
見事だ,形容動詞
素敵だ,形容動詞
だるい,形容動詞
まじだ,形容動詞
ガチだ,形容動詞
すごい,形容詞
やばい,形容詞
うまい,形容詞
まずい,形容詞
かわいい,形容詞
かっこいい,形容詞
うるさい,形容詞
めんどくさい,形容詞
しんどい,形容詞
きつい,形容詞
ひどい,形容詞
素晴らしい,形容詞
楽しい,形容詞
嬉しい,形容詞
悲しい,形容詞
寂しい,形容詞
怖い,形容詞
眠い,形容詞
疲れた,形容詞
美味しい,形容詞
まずい,形容詞
明るい,形容詞
暗い,形容詞
広い,形容詞
狭い,形容詞
早い,形容詞
遅い,形容詞
走る,動詞
食べる,動詞
飲む,動詞
見る,動詞
聞く,動詞
話す,動詞
読む,動詞
書く,動詞
行く,動詞
来る,動詞
する,動詞
いる,動詞
ある,動詞
寝る,動詞
起きる,動詞
遊ぶ,動詞
働く,動詞
休む,動詞
笑う,動詞
泣く,動詞
待つ,動詞
使う,動詞
作る,動詞
買う,動詞
売る,動詞
私,代名詞
僕,代名詞
俺,代名詞
あなた,代名詞
君,代名詞
彼,代名詞
彼女,代名詞
これ,代名詞
それ,代名詞
あれ,代名詞
ここ,代名詞
そこ,代名詞
あそこ,代名詞
どこ,代名詞
誰,代名詞
何,代名詞
とても,副詞
すごく,副詞
かなり,副詞
ちょっと,副詞
少し,副詞
もっと,副詞
すぐ,副詞
ゆっくり,副詞
しっかり,副詞
きっと,副詞
たぶん,副詞
いつも,副詞
時々,副詞
また,副詞
もう,副詞
まだ,副詞
この,連体詞
その,連体詞
あの,連体詞
どの,連体詞
大きな,連体詞
小さな,連体詞
ある,連体詞
あらゆる,連体詞
だから,接続詞
ですから,接続詞
したがって,接続詞
そのため,接続詞
ゆえに,接続詞
それで,接続詞
そこで,接続詞
すると,接続詞
だったら,接続詞
それなら,接続詞
しかし,接続詞
でも,接続詞
だが,接続詞
けれども,接続詞
ところが,接続詞
ただし,接続詞
もっとも,接続詞
とはいえ,接続詞
それでも,接続詞
にもかかわらず,接続詞
そして,接続詞
および,接続詞
ならびに,接続詞
また,接続詞
さらに,接続詞
しかも,接続詞
そのうえ,接続詞
かつ,接続詞
それに,接続詞
なお,接続詞
または,接続詞
あるいは,接続詞
それとも,接続詞
もしくは,接続詞
いずれにしても,接続詞
ところで,接続詞
さて,接続詞
ときに,接続詞
ちなみに,接続詞
では,接続詞
それでは,接続詞
なぜなら,接続詞
つまり,接続詞
すなわち,接続詞
要するに,接続詞
ただ,接続詞
むしろ,接続詞
かえって,接続詞
いわば,接続詞
例えば,接続詞
たとえば,接続詞
具体的には,接続詞
とりわけ,接続詞
特に,接続詞
ああ,感動詞
おお,感動詞
もしもし,感動詞
はい,感動詞
いいえ,感動詞
うん,感動詞
ええ,感動詞
おい,感動詞
ねえ,感動詞
さあ,感動詞
ほら,感動詞
あら,感動詞
まあ,感動詞
こんにちは,感動詞
こんばんは,感動詞
さようなら,感動詞
ありがとう,感動詞
ごめん,感動詞
犬,名詞
猫,名詞
人,名詞
学校,名詞
先生,名詞
学生,名詞
友達,名詞
家族,名詞
時間,名詞
場所,名詞
食べ物,名詞
水,名詞
空,名詞
海,名詞
山,名詞
川,名詞
本,名詞
車,名詞
家,名詞
仕事,名詞
勉強,名詞
音楽,名詞
映画,名詞
ゲーム,名詞
電話,名詞
お金,名詞
愛,名詞
自由,名詞
平和,名詞
幸せ,名詞
